"id","日付","在庫変動数","商品番号","在庫確認フラグ","備考"
1,2020/08/11,50,"C11","1",
2,2020/08/11,10,"B12","1",
3,2020/08/11,15,"C13","1",
4,2020/08/11,4,"B11","1",
5,2020/08/11,10,"D11","1",
6,2020/08/11,20,"L12","1",
7,2020/08/11,5,"B13","1",
8,2020/08/11,6,"C12","1",
9,2020/08/11,3,"L11","1",
10,2020/08/11,-2,"C11","2",
11,2020/08/11,-1,"C11","2",
12,2020/08/11,-2,"C11","2",
13,2020/08/11,1,"D12","1",
14,2020/08/13,-2,"C11","2",
15,2020/08/13,-1,"C11","2",
16,2020/08/13,-1,"C12","2",
17,2020/08/13,-1,"D12","2",
